circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,1970,6449,4612,32,7,3,0.5841015167960452
1,1971,1505,72,33,7,7,0.9744341627145668
1,1972,7359,6659,49,3,13,0.32849359178501236
1,1973,9133,4725,41,3,3,0.33355190300724435
1,1974,7047,12114,47,2,10,0.8974760853538529
1,1975,9837,12333,21,2,6,0.6249355631128457
1,1976,5841,9523,11,6,8,0.7010210340994367
1,1977,3950,1736,9,8,2,0.5094720714818519
1,1978,2107,11214,47,5,4,0.04199913887372497
1,1979,1010,7657,11,7,14,0.33159619741387913
1,1980,9635,11832,30,3,0,0.4131692584098029
1,1981,4621,4104,2,6,10,0.2931362086646746
1,1982,5138,5126,30,3,10,0.20543214787226105
1,1983,1498,9747,1,5,6,0.96379630656074
1,1984,6239,10913,14,3,7,0.6660165048505865
1,1985,1939,7014,28,7,3,0.8773503633365809
1,1986,2700,5808,19,6,4,0.6195428981248097
1,1987,8864,12058,11,6,6,0.8358738236274622
1,1988,5802,10181,31,2,12,0.0054423972473844895
1,1989,6823,3100,42,9,4,0.9103285528440628
1,1990,6789,10899,41,2,7,0.8615980737161841
1,1991,7483,7820,25,8,14,0.9519772429965682
1,1992,4697,5398,31,3,1,0.07255479987688285
1,1993,3264,6873,13,9,10,0.858933962852621
1,1994,3444,5302,49,6,7,0.5669135235850082
1,1995,2334,3870,18,1,11,0.7885000056923391
1,1996,3252,1490,36,9,12,0.37484148100264714
1,1997,4319,41,47,5,6,0.9084302233665829
1,1998,3056,10561,23,1,8,0.7697800872464885
1,1999,5510,1603,20,7,1,0.9503364860216131
1,2000,1487,10316,45,6,6,0.8311702894912861
2,1970,8037,7549,41,0,2,0.518354417374843
2,1971,7240,347,4,2,1,0.21237330092768902
2,1972,1052,11766,47,6,7,0.7644751214361104
2,1973,3508,6316,24,5,1,0.4073830381075174
2,1974,4740,1121,16,0,1,0.8384077987895957
2,1975,537,219,8,9,11,0.24299761271032627
2,1976,6048,8132,24,5,14,0.4102619888762097
2,1977,3082,13925,30,1,1,0.875351968760287
2,1978,2829,7739,26,0,2,0.5610563104867122
2,1979,1682,3501,42,9,10,0.6411446062675349
2,1980,585,14495,21,9,14,0.6166794573266385
2,1981,876,6478,15,5,3,0.12213639305934432
2,1982,878,12563,16,1,9,0.10651370320696396
2,1983,3819,12761,7,0,10,0.7345913500283977
2,1984,7660,4817,48,6,8,0.22337098109581077
2,1985,2120,3949,1,4,11,0.24342143345338674
2,1986,3028,1031,46,5,3,0.24601935681160825
2,1987,7818,13355,35,8,2,0.2974467849202673
2,1988,5698,10552,26,0,11,0.35496324356399866
2,1989,8836,4875,37,1,14,0.7572096223910194
2,1990,1779,1434,3,6,7,0.8241731599691858
2,1991,47,10605,6,4,6,0.6709077191031791
2,1992,4329,5219,27,7,12,0.44171196537126545
2,1993,4243,5369,3,5,4,0.3985314658201716
2,1994,76,7697,42,9,2,0.7194955119470818
2,1995,1595,9717,27,9,10,0.7253734387496419
2,1996,8271,12231,49,4,5,0.9909444624601522
2,1997,8118,1724,37,8,8,0.6726855056316942
2,1998,2270,5240,29,6,6,0.7140562695133479
2,1999,962,7214,21,5,2,0.07918979550371741
2,2000,5204,13855,37,4,1,0.2538264956442349
3,1970,3845,10655,38,9,7,0.4537728210961831
3,1971,6569,13582,42,3,11,0.7660327385102442
3,1972,7637,13815,3,0,2,0.927171817643049
3,1973,2497,11550,10,8,14,0.8796395713146291
3,1974,9206,14803,39,5,10,0.8521206581725163
3,1975,9457,1257,15,2,5,0.1418608858273699
3,1976,9025,2465,14,4,12,0.6196335149837071
3,1977,8324,14234,17,0,2,0.4638191960523984
3,1978,2723,4480,42,5,13,0.7447059169251626
3,1979,222,10565,49,9,10,0.1396405772385234
3,1980,1141,1753,42,9,9,0.6271365623475549
3,1981,6106,4686,6,4,7,0.3675017057417653
3,1982,5025,204,8,1,6,0.0426948976584125
3,1983,5893,12077,2,7,3,0.7948187658272331
3,1984,6912,1198,5,2,8,0.8030731565156218
3,1985,5537,11561,42,0,9,0.9442204098754731
3,1986,6745,8611,33,1,6,0.1330083868720926
3,1987,2234,6034,26,9,3,0.42151526164399666
3,1988,1708,12437,14,7,6,0.18364205460171756
3,1989,5737,11054,39,3,13,0.4056892186495302
3,1990,6982,3936,41,2,3,0.023693583569818433
3,1991,3459,14879,8,2,0,0.04374934826675392
3,1992,6561,11958,34,9,13,0.8437002474513894
3,1993,2225,5393,14,0,13,0.8733338708173185
3,1994,4906,5734,45,5,3,0.3187286095502031
3,1995,5551,10701,36,0,2,0.9522701864720426
3,1996,1294,1877,38,7,11,0.5918104641598407
3,1997,1698,4167,30,7,9,0.23026240009889598
3,1998,983,8840,11,5,5,0.4669721454469482
3,1999,8534,13136,9,2,1,0.6668505824901101
3,2000,4725,1637,0,5,7,0.20063255964172444
4,1970,1941,483,48,4,10,0.8674331138744691
4,1971,7651,947,38,4,3,0.7800079490895958
4,1972,3062,13777,27,2,14,0.10138467254164574
4,1973,5244,13873,19,1,3,0.15429726421352252
4,1974,8353,12663,0,1,4,0.9723968895168608
4,1975,6484,4104,44,3,8,0.9354170379852947
4,1976,872,9699,18,8,1,0.2611956807971123
4,1977,2115,12070,28,4,7,0.20753555316403494
4,1978,1728,11302,24,2,1,0.7573415762642074
4,1979,4335,3511,19,9,0,0.8550644030085018
4,1980,7695,9634,15,5,11,0.46300571229334675
4,1981,9525,3490,13,1,7,0.012254196481862434
4,1982,9693,9585,0,1,9,0.37234477372549857
4,1983,7717,11824,36,7,1,0.5360124841413914
4,1984,8879,12760,20,7,6,0.5854775305140868
4,1985,9859,11193,8,3,0,0.3814020883698158
4,1986,158,12494,36,5,11,0.0028256861698470193
4,1987,8305,5885,46,7,6,0.6174419680847464
4,1988,5865,14627,10,0,10,0.7387397702044504
4,1989,9737,1438,14,1,4,0.4231255813982574
4,1990,7977,295,7,3,1,0.6718127624731801
4,1991,2378,10710,39,8,13,0.13376327549586675
4,1992,432,6469,42,8,8,0.6551601288963145
4,1993,810,10791,19,7,1,0.17489014803602043
4,1994,6264,6483,35,5,11,0.9493725296528238
4,1995,8209,9679,5,2,13,0.012216284200471716
4,1996,578,5223,10,9,2,0.8661519060760844
4,1997,9251,6196,32,6,4,0.8383085363688165
4,1998,6062,593,11,8,9,0.8069420667563161
4,1999,8251,13307,40,3,5,0.8845004613965315
4,2000,2048,11585,40,2,7,0.39692580835603186
5,1970,6738,10807,32,7,14,0.1434270596342616
5,1971,4255,1949,1,5,2,0.5975734151771307
5,1972,6034,11325,44,3,6,0.241628460153541
5,1973,9082,11751,42,7,3,0.15272068756997526
5,1974,6400,4117,16,5,4,0.8766115588146748
5,1975,905,7266,21,2,8,0.005660924997197725
5,1976,8083,1512,17,9,5,0.8257717044512484
5,1977,4127,9155,15,1,3,0.9157848091678561
5,1978,7081,11291,19,9,6,0.36742076370987997
5,1979,6875,13684,14,8,13,0.1706387892282606
5,1980,7810,10533,2,0,11,0.8406490499526504
5,1981,4758,8761,39,6,13,0.7120818975511772
5,1982,6367,3959,25,9,1,0.4002580433690194
5,1983,2514,11450,4,9,13,0.9240770108192623
5,1984,5543,9254,31,9,4,0.03467712052376337
