circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,2012,"11,591","23,389",53,12,135,0.018
2,2012,"4,819","10,760",54,4,136,0.04
3,2012,"2,519","5,643",2,0,15,0.008
4,2012,"11,072","21,382",31,16,201,0.022
5,2012,"10,297","22,317",41,2,67,0.01
6,2012,"15,748","26,995",51,6,172,0.0139999999999999
7,2012,"9,688","16,752",19,3,61,0.009
8,2012,"4,307","9,159",19,15,55,0.02
9,2012,"17,024","37,497",132,4,162,0.02
10,2012,"9,510","26,040",91,4,183,0.0289999999999999
11,2012,"17,393","38,418",74,53,158,0.016
12,2012,"7,389","15,363",27,12,93,0.019
13,2012,"12,197","26,311",71,56,194,0.022
14,2012,"5,072","9,476",13,3,37,0.009
15,2012,"8,426","17,568",41,9,122,0.019
16,2012,"1,314","2,934",6,5,6,0.016
17,2012,"16,393","34,636",95,32,130,0.017
18,2012,"8,519","22,627",17,25,94,0.017
19,2012,"5,171","12,660",22,1,101,0.024
20,2012,"8,396","18,831",40,3,75,0.016
